f1,f2
115.159,0.0
107.26,8.67529
111.452,1.73468
110.386,7.38672
111.805,0.0
101.543,11.5658
110.29,1.73506
107.603,4.69183
104.447,8.67056
107.755,4.62494
110.654,1.15634
103.285,9.82926
102.785,10.4041
101.775,11.5615
102.28,10.9821
110.649,1.15671
102.573,10.4053
102.128,10.9865
103.502,9.82727
103.942,9.24859
104.083,8.67357
103.578,9.25364
104.088,8.67112
103.795,9.24919
101.548,11.5624
102.639,10.4047
107.618,4.62633
102.134,10.9834
103.649,9.24988
103.644,9.25106
102.128,10.9856
