ElapsedTime(s),Battery(%),ChargeRate(%/min)
0.0961411,100,
60.0962,98.3196,1.68
120.196,96.5916,1.73
180.196,94.8665,1.73
240.197,93.1412,1.73
300.197,91.4159,1.73
360.197,89.6906,1.73
420.197,87.9655,1.73
480.197,86.2402,1.73
540.197,84.515,1.73
600.197,82.7897,1.73
660.197,81.0647,1.73
720.198,79.3397,1.72
780.198,77.6144,1.73
840.198,75.8895,1.72
900.198,74.1643,1.73
960.198,72.4391,1.73
1020.2,70.7138,1.73
1080.2,68.9887,1.73
1140.2,67.264,1.72
1200.2,65.5387,1.73
1260.2,63.8136,1.73
1320.2,62.0884,1.73
1380.2,60.3633,1.73
